neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Treptow - Köpenick,Adlershof,52.43893,13.5537,Entire home/apt,65,92,5,0.25,4,46,2,0,1,14.728743674494556,14.969439270160883,13.437573924324257,15.427000064646528,14.105412245626395,13.44,0,1,2,1125
Mitte,Alexanderplatz,52.52416,13.38458,Entire home/apt,55,58,2,0.1,26,0,1,1,1,0.9924682738546583,0.838648931869731,1.4662674245981293,1.281365994174407,0.8439817465540055,0.84,2,5,7,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51117,13.45431,Private room,35,2,2,0.46,1,0,2,1,1,5.226744278661043,5.367273160071125,3.5817735935015125,5.104229268422602,4.358449997140602,3.58,1,2,3,6
Mitte,Alexanderplatz,52.52422,13.38641,Entire home/apt,54,56,1,0.21,26,0,1,1,0,1.0615813739625124,0.9318674574010434,1.37020491450115,1.2434625995255961,0.79322387039712,0.79,0,1,1,99
Charlottenburg-Wilm.,Mierendorffplatz,52.52201,13.31617,Private room,40,93,0,0.0,3,289,0,1,1,4.230359144105533,4.0920299507787785,5.878216651720648,5.233033971499515,5.1022701393151335,4.09,1,2,3,14
Pankow,Weißensee,52.54988,13.44446,Entire home/apt,199,3,29,1.12,2,222,20,0,1,5.8709946777287,5.792588647873464,4.675418972230405,4.029220084708783,5.10027399003606,4.03,0,2,1,1125
Treptow - Köpenick,Adlershof,52.43866,13.55307,Entire home/apt,66,92,5,0.22,4,210,1,0,1,14.711671672229487,14.952864712169061,13.42426270166098,15.417152847725388,14.090642799324726,13.42,2,2,3,14
Mitte,Alexanderplatz,52.52868,13.40582,Entire home/apt,115,62,0,0.0,16,79,0,1,1,2.3519859555249667,2.3010345789660165,1.3607008055852727,1.2811654609975418,1.5858023291728023,1.28,1,2,3,28
Pankow,Weißensee,52.55443,13.45735,Entire home/apt,101,28,42,1.51,2,314,17,1,1,6.869582945250346,6.796888885012403,5.623870887930681,5.0349907584656375,6.083485655650273,5.03,1,2,3,14
Mitte,Alexanderplatz,52.52465,13.41931,Entire home/apt,120,7,7,0.25,1,336,1,1,1,2.9696939156502324,3.0021786619592095,1.4576621211000143,2.294951080747852,2.0730297938029745,1.46,3,3,6,14
Neukölln,Schillerpromenade,52.47961,13.42232,Entire home/apt,40,5,0,0.0,1,0,0,1,1,5.0783641569605305,5.353239802411068,4.338712187009514,6.553910233689243,4.738775228698721,4.34,1,3,5,1125
Steglitz - Zehlendorf,Teltower Damm,52.42988,13.25955,Entire home/apt,45,150,0,0.0,1,0,0,0,1,12.527682228861206,12.662560289905171,13.686527769969466,14.697452931365097,13.236291093593566,12.53,0,1,2,18
Reinickendorf,Ost 1,52.57099,13.37635,Entire home/apt,45,1,1,0.04,1,0,0,1,1,6.090325916645722,5.827287412448417,6.299310531736042,4.097221880909526,6.016627747951533,4.1,3,3,6,28
Charlottenburg-Wilm.,Schloß Charlottenburg,52.51156,13.28897,Entire home/apt,130,1,0,0.0,1,0,0,1,1,6.051564349570286,5.973574851074349,7.715761051473165,7.355741705798362,6.959671987819138,5.97,1,2,4,21
Mitte,Moabit West,52.52973,13.34003,Entire home/apt,150,3,51,1.83,2,279,29,0,1,2.9678645853788725,2.748413805048732,4.471661158094396,3.4579974752319456,3.710812361070705,2.75,1,2,4,62
Mitte,Tiergarten Süd,52.50046,13.36439,Private room,35,7,0,0.0,1,0,0,1,0,1.979762848443222,2.1743236642922548,3.1421832194447323,4.239578314178212,2.6322441790662747,1.98,0,1,1,360
Mitte,Moabit Ost,52.5316,13.34821,Entire home/apt,75,3,9,0.3,1,0,0,0,1,2.6340643408128854,2.3861483942467085,4.032161972584751,2.8770778318609334,3.2922277798769577,2.39,1,0,2,1125
Mitte,Brunnenstr. Süd,52.53223,13.39619,Entire home/apt,109,3,8,0.27,26,0,2,1,1,2.1720734273045124,2.033167320779135,1.783975425265006,0.5202041890317592,1.6587293346189829,0.52,0,1,2,180
Pankow,Prenzlauer Berg Nordwest,52.5538,13.40252,Private room,40,1,3,0.11,1,0,0,0,1,4.501568676609106,4.302629928908954,4.135094584515233,2.2369538391657557,4.096424334703877,2.24,1,2,4,1125
Neukölln,Schillerpromenade,52.47589,13.42288,Entire home/apt,48,3,10,0.34,1,0,0,1,1,5.437870731928648,5.7151695205350235,4.744694353488312,6.9577026165324,5.128033842877776,4.74,1,2,2,30
Mitte,Alexanderplatz,52.52563,13.40237,Entire home/apt,54,1,0,0.0,1,0,0,0,1,1.9679569758961906,1.9400392657818668,1.0003885490455082,1.3431870572664284,1.1754102659581205,1.0,1,2,4,1125
Mitte,Brunnenstr. Süd,52.53341,13.39429,Entire home/apt,53,5,12,0.43,26,32,0,0,1,2.212666567436409,2.0531161384996732,1.944040338886086,0.33819647705676764,1.7663607394487326,0.34,1,1,2,1125
Pankow,Blankenburg/Heinersdorf/Märchenland,52.5689,13.4378,Entire home/apt,70,5,1,0.04,1,2,0,0,1,7.133618077999653,6.983328644644372,6.293916310775257,4.95227179316033,6.5259620633070465,4.95,1,1,2,180
Treptow - Köpenick,Bohnsdorf,52.40305,13.58566,Private room,229,1,0,0.0,3,351,0,0,1,18.931037012378223,19.1857102809867,17.750219422026085,19.811921723654613,18.37742066342067,17.75,1,1,2,1125
Mitte,Alexanderplatz,52.51252,13.40801,Entire home/apt,74,92,1,0.09,20,16,1,0,1,2.0944943176081514,2.263861516647318,0.5995876454222069,2.7933412460447853,1.2889651089691618,0.6,1,2,2,1125
Treptow - Köpenick,Bohnsdorf,52.40195,13.58497,Private room,241,1,0,0.0,3,351,0,1,1,18.97801181398102,19.23347468001827,17.80496114600117,19.87175650299202,18.429112332158837,17.8,0,1,2,365
Treptow - Köpenick,Bohnsdorf,52.40305,13.58566,Private room,229,1,0,0.0,3,330,0,1,0,18.931037012378223,19.1857102809867,17.750219422026085,19.811921723654613,18.37742066342067,17.75,1,2,3,364
Lichtenberg,Friedrichsfelde Süd,52.49814,13.5092,Entire home/apt,19,90,0,0.0,1,0,0,0,1,9.148754352673098,9.313682013602437,7.543497646612424,9.067223541970096,8.314546802917775,7.54,0,3,3,120
Mitte,Brunnenstr. Süd,52.53201,13.39491,Entire home/apt,99,7,6,0.2,26,2,0,1,1,2.102833060000231,1.9575573184655874,1.782707120997792,0.47343051447110795,1.6183141637566707,0.47,0,1,2,365
Mitte,Brunnenstr. Süd,52.53406,13.39595,Entire home/apt,53,21,1,0.04,26,0,0,0,1,2.332884551773798,2.178967686126352,1.9860491873100963,0.4082726745081621,1.8552008916905869,0.41,2,2,4,1125
Steglitz - Zehlendorf,Schloßstr.,52.46063,13.3153,Entire home/apt,27,92,5,0.2,1,208,3,1,1,7.505875351956385,7.665236404372288,8.58979000680987,9.728594119512723,8.168120202782662,7.51,2,4,4,75
Mitte,Brunnenstr. Süd,52.53224,13.39449,Entire home/apt,53,3,12,0.41,26,0,0,0,1,2.108729282921634,1.9589123250522027,1.815413166231716,0.4353289509476089,1.6392027128818243,0.44,2,2,4,120
Mitte,Brunnenstr. Süd,52.5337,13.39408,Entire home/apt,99,21,4,0.15,26,33,2,0,1,2.2334511910247796,2.070680573883095,1.979017101409557,0.30856387293219933,1.7966614270184236,0.31,0,1,2,1125
Mitte,Brunnenstr. Süd,52.53265,13.39627,Entire home/apt,89,28,4,0.14,26,4,1,1,1,2.2135318806055837,2.071770386760871,1.8282291995881814,0.49683025844047246,1.7055584338103942,0.5,3,3,5,13
Treptow - Köpenick,Alt  Treptow,52.48807,13.4436,Entire home/apt,120,4,12,0.43,1,5,7,1,1,5.461221369230073,5.701516412062309,4.238607357719314,6.370995953851973,4.858368500018827,4.24,1,2,2,1125
Mitte,Brunnenstr. Süd,52.53427,13.39554,Entire home/apt,109,3,3,0.35,26,0,3,0,1,2.3382796879924537,2.180570898647213,2.015033818502788,0.3750186957458817,1.8734076919257754,0.38,1,1,1,130
Lichtenberg,Neu Lichtenberg,52.50274,13.49008,Private room,20,5,0,0.0,1,0,0,1,1,7.77214603421402,7.931310356271033,6.156108622506878,7.679237987280172,6.929077099849659,6.16,1,1,2,20
Mitte,Brunnenstr. Süd,52.53412,13.39549,Entire home/apt,109,3,4,0.15,26,1,0,1,1,2.322236479407709,2.165213735951627,1.9995705867508,0.3764969835449763,1.8563853789257534,0.38,1,1,1,184
Mitte,Brunnenstr. Süd,52.53421,13.39627,Entire home/apt,109,4,6,0.2,26,35,0,1,1,2.3585545562506027,2.2054974179782043,1.997768511944394,0.4246253012234566,1.8756404179021455,0.42,1,1,2,1125
Charlottenburg-Wilm.,Kantstraße,52.508912855210845,13.315478089290409,Entire home/apt,164,2,0,0.0,3,84,0,1,1,4.307811823435348,4.261475370660444,5.957981965785692,5.852613929186367,5.218688263707266,4.26,0,1,2,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.4996,13.3562,Private room,25,3,7,0.25,1,0,0,0,1,2.3633149107234352,2.5148609752900284,3.6606701090199034,4.580376252765167,3.1020601479529986,2.36,2,3,5,1125
Reinickendorf,Ost 2,52.56428,13.33119,Entire home/apt,16,2,1,0.15,1,0,1,0,0,6.207773800009924,5.927660682924679,7.1688598337244045,5.150938835436015,6.585892467438912,5.15,2,2,4,1125
Pankow,Prenzlauer Berg Südwest,52.53831,13.42286,Entire home/apt,39,3,6,0.25,1,0,1,1,0,3.9217087406186444,3.8506804434759183,2.7853881299747614,2.2433867451366605,3.155010243626422,2.24,0,1,2,1125
Treptow - Köpenick,Friedrichshagen,52.44953,13.62337,Entire home/apt,149,2,15,0.56,1,256,10,0,0,18.262875117073555,18.4680359398745,16.771735649896836,18.482069758926666,17.512554227666335,16.77,1,2,2,1125
Pankow,Prenzlauer Berg Nordwest,52.55034,13.40183,Entire home/apt,100,60,0,0.0,16,15,0,1,1,4.12811111156023,3.9346904247012207,3.7501968263802623,1.8650234548633593,3.709652476479856,1.87,2,2,4,1125
Mitte,Brunnenstr. Nord,52.53882,13.37595,Entire home/apt,215,2,72,2.58,2,350,42,0,1,2.512803858830568,2.24753218730577,3.0486214274763803,1.0499043060513968,2.566154815369758,1.05,1,1,2,11
Treptow - Köpenick,Alt  Treptow,52.48881,13.44415,Entire home/apt,158,1,54,1.89,1,73,28,1,1,5.445176405963384,5.683050801936961,4.20233929097478,6.324984691328485,4.8307527563877946,4.2,0,2,4,365
Charlottenburg-Wilm.,Kantstraße,52.50531,13.31298,Private room,45,2,0,0.0,1,0,0,1,1,4.564974649673229,4.540458047346312,6.195099665812951,6.205330812766819,5.472326062316539,4.54,2,4,4,360
Lichtenberg,Karlshorst,52.48577,13.5342,Entire home/apt,85,2,29,1.07,1,100,21,1,1,11.15148775570596,11.3351253053678,9.592080205884583,11.214846600785245,10.35189637678179,9.59,1,4,4,91
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50054188935673,13.39036371728366,Private room,64,28,0,0.0,2,82,0,1,0,1.9473420552592655,2.2300736359306286,1.9666530844406007,3.851330065450998,1.9057838350552079,1.91,1,2,2,1125
Steglitz - Zehlendorf,Albrechtstr.,52.46673,13.33699,Entire home/apt,69,120,1,0.04,2,199,0,1,1,6.169170253852065,6.358974639366025,7.108749490152198,8.427900212351416,6.751320583863949,6.17,0,1,2,1125
Charlottenburg-Wilm.,Mierendorffplatz,52.52278,13.29918,Entire home/apt,60,4,0,0.0,1,0,0,0,1,5.384057303666722,5.2482785623571715,7.03425291651488,6.329082299221581,6.258466483678347,5.25,1,2,2,1125
Tempelhof - Schöneberg,Friedenau,52.46659,13.34311,Entire home/apt,40,5,0,0.0,1,0,0,0,1,6.0083549923806725,6.210922606596446,6.86959971347231,8.272599237257479,6.548301066497152,6.01,1,3,3,1125
Mitte,Brunnenstr. Nord,52.53988,13.37115,Entire home/apt,136,2,29,1.12,1,50,20,0,1,2.6658926321517895,2.3901027516611926,3.34098822179229,1.3959369910984005,2.8152943381806645,1.4,1,3,2,1125
Pankow,Helmholtzplatz,52.54492,13.42072,Entire home/apt,85,5,29,1.1,3,5,18,1,1,4.319770463700231,4.206112581007844,3.3856562217904376,2.3383214444324305,3.6424194132942764,2.34,1,1,2,180
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49615,13.42656,Entire home/apt,121,1,117,4.19,8,128,55,0,0,3.9979402757451177,4.236362432778421,2.81214263524209,4.992649749832079,3.400265783895569,2.81,0,3,3,1125
Marzahn - Hellersdorf,Biesdorf,52.51317,13.55448,Entire home/apt,122,10,17,0.6,1,76,7,0,0,12.001013156959466,12.118003691411461,10.337074454952447,11.41493241959837,11.109475465909066,10.34,0,0,1,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50915,13.47107,Entire home/apt,50,3,0,0.0,1,0,0,1,1,6.3831636158104645,6.526441137174539,4.741427617603778,6.204685707715551,5.517995191849954,4.74,0,2,1,1125
Mitte,Moabit Ost,52.53072,13.36248,Entire home/apt,46,90,9,0.36,1,165,3,0,0,1.9143345870100434,1.636745640999869,3.125088772933452,1.945035774741317,2.4201826007150142,1.64,2,2,4,60
Lichtenberg,Alt-Hohenschönhausen Nord,52.55229,13.51384,Entire home/apt,80,9,0,0.0,1,0,0,0,1,10.065680857443908,10.063140143847983,8.544319037890268,8.60175217880147,9.183063325285765,8.54,1,1,1,20
Neukölln,Neuköllner Mitte/Zentrum,52.48238,13.42948,Entire home/apt,32,6,0,0.0,1,0,0,1,1,5.152472326043724,5.418266267306664,4.235151558555677,6.4493911742059495,4.716482662738556,4.24,0,1,2,1125
Mitte,Moabit West,52.52862,13.3383,Private room,45,25,7,0.48,1,139,4,1,1,3.0114763521864547,2.8025269418256915,4.545141393144909,3.5966119789742095,3.778917896541687,2.8,0,1,4,1125
Mitte,Alexanderplatz,52.52836,13.39431,Entire home/apt,80,62,1,0.05,16,138,0,0,0,1.7523587457491052,1.6386733303836358,1.4129054701975943,0.8054761760237548,1.2112651234850949,0.81,0,1,1,360
Tempelhof - Schöneberg,Schöneberg-Nord,52.49276,13.35128,Private room,53,3,36,1.34,1,202,27,1,1,3.1746666095969496,3.3384705479098384,4.367128940601798,5.407037615169934,3.8669442420903604,3.17,0,1,2,1125
Steglitz - Zehlendorf,Lankwitz,52.43248,13.33732,Entire home/apt,50,90,0,0.0,1,104,0,1,1,9.720198720305195,9.94302391481273,10.354210961792884,11.976584555128788,10.156471428883695,9.72,0,2,2,1125
Mitte,Regierungsviertel,52.50983,13.40349,Entire home/apt,89,14,3,0.12,1,0,0,1,1,1.8869847834083529,2.095299431634473,0.761962655501977,2.9585090720847163,1.2162078932483142,0.76,0,1,2,365
Tempelhof - Schöneberg,Schöneberg-Süd,52.48077,13.34962,Entire home/apt,129,5,13,0.51,5,107,6,1,1,4.388348318384502,4.582584454298599,5.36098386862277,6.649371721576016,4.975039187840243,4.39,0,1,2,365
Pankow,Weißensee,52.5472,13.45822,Entire home/apt,67,3,3,0.12,1,2,2,0,1,6.453754125342718,6.4103270706972175,5.094653700580839,4.805339852978127,5.622406455015811,4.81,1,1,2,28
Treptow - Köpenick,Plänterwald,52.48579,13.4654,Entire home/apt,50,10,2,0.08,1,0,0,1,1,6.849023370433283,7.073955428430138,5.489593656853933,7.498988277317101,6.173119413624567,5.49,0,2,4,1125
Pankow,Pankow Süd,52.56021,13.42625,Entire home/apt,75,5,1,0.04,1,0,0,1,1,5.893219384038618,5.740073334158917,5.113060333216086,3.708599557221894,5.3043061311264195,3.71,0,1,2,365
Pankow,Prenzlauer Berg Südwest,52.53847,13.42318,Entire home/apt,206,5,10,0.46,7,58,6,1,1,3.9497858027633552,3.8786657290026856,2.8116881045801323,2.2676611643899207,3.1828592047700686,2.27,0,1,2,90
Mitte,Moabit Ost,52.52177,13.35523,Entire home/apt,200,4,111,4.01,2,151,57,1,1,1.6483835117329118,1.4657369115084742,3.246938747750125,2.8021213167950187,2.4705441004862343,1.47,0,2,4,365
Mitte,Moabit West,52.5218,13.33783,Entire home/apt,50,4,4,0.15,1,0,1,1,1,2.7805513977825935,2.6282697599910345,4.414982345413611,3.8525940229019677,3.638262396388064,2.63,0,2,4,365
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50454,13.41469,Entire home/apt,80,5,3,0.11,1,0,0,0,1,2.825633577137698,3.0471719716267462,1.5869800113893864,3.7902257656657214,2.172583044489813,1.59,1,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51297,13.45728,Entire home/apt,29,91,9,0.34,2,0,2,1,1,5.409859072375572,5.5401517244086795,3.7535109205300867,5.178632697917896,4.529877151496128,3.75,0,2,4,365
Pankow,Blankenfelde/Niederschönhausen,52.58541,13.39227,Private room,30,92,2,0.19,1,104,2,1,1,7.756759279262208,7.5114424325407985,7.682866073701528,5.594359776745645,7.539120088239593,5.59,1,8,8,91
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50565,13.37932,Private room,86,2,39,1.44,2,7,29,1,1,1.18596500868893,1.459074768427382,1.9833188178978223,3.365033596700129,1.554303554484239,1.19,0,2,4,365
Neukölln,Schillerpromenade,52.47543,13.42183,Entire home/apt,74,4,54,2.02,1,210,31,0,1,5.44070636979721,5.718882427040855,4.773352610762029,6.983990447267001,5.145051144499817,4.77,1,1,1,28
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.493694,13.396867,Entire home/apt,91,1,169,5.96,7,310,73,1,1,2.82656920911223,3.1088340221141193,2.5800483935501286,4.635435870770793,2.696914272865861,2.58,1,1,2,365
Neukölln,Britz,52.45758,13.44682,Entire home/apt,60,3,1,0.04,1,0,0,0,1,8.040167536303276,8.315876722381887,7.233933765627703,9.449585353968525,7.686397659997793,7.23,1,0,1,30
Mitte,Moabit West,52.52888,13.34043,Entire home/apt,167,3,39,1.4,2,322,24,0,1,2.8974974351003455,2.6826245749077,4.4159552439711245,3.449193704979376,3.6521504494463053,2.68,0,1,2,35
Lichtenberg,Neu Lichtenberg,52.50367,13.50146,Entire home/apt,48,21,1,0.04,1,0,0,0,1,8.513747566777045,8.66566733010415,6.884193520757917,8.324941432203122,7.659644971141883,6.88,0,1,2,360
Tempelhof - Schöneberg,Schöneberg-Nord,52.49426,13.36688,Private room,43,1,18,0.64,1,0,0,0,0,2.558069778226824,2.783889964276893,3.462988036041749,4.818012331579202,3.076421326536439,2.56,1,1,2,5
Mitte,Regierungsviertel,52.51084,13.37941,Entire home/apt,100,92,3,0.14,25,319,2,1,1,0.6139075998400523,0.8930983733327286,1.6838068413734755,2.802856360282659,1.09338921415451,0.61,0,1,1,36
Tempelhof - Schöneberg,Schöneberg-Süd,52.48704,13.34061,Entire home/apt,40,1,6,0.23,1,247,0,0,1,4.116572619695785,4.265153435661444,5.329989238941758,6.324632576881486,4.829139960332574,4.12,2,2,4,1125
Neukölln,Reuterstraße,52.48681,13.42681,Private room,80,30,0,0.0,7,255,0,1,1,4.672447324390324,4.933961410601925,3.7127551790430036,5.925665253514378,4.207354251767413,3.71,0,2,4,1125
Lichtenberg,Alt-Lichtenberg,52.51493,13.49837,Entire home/apt,100,360,2,0.08,1,0,0,0,1,8.188084749984895,8.303744571654866,6.523352711072693,7.6784003910377825,7.295306792414404,6.52,2,4,4,30
Marzahn - Hellersdorf,Kaulsdorf,52.51483,13.59196,Private room,65,2,9,0.34,1,101,0,1,1,14.541094373708894,14.652961118727282,12.875605918303206,13.878856354667361,13.64598504909644,12.88,1,1,2,360
Reinickendorf,MV 2,52.59984,13.3329,Private room,153,1,37,1.31,12,153,18,1,0,9.785271188273517,9.502731359631428,10.386598818080378,8.180160593708841,9.957142019459933,8.18,0,1,2,1125
Reinickendorf,MV 2,52.6011,13.33245,Private room,182,1,72,2.57,12,153,26,1,1,9.928017535872613,9.645508519988823,10.5254448490344,8.318105887837108,10.097999965150482,8.32,0,0,1,30
Pankow,Prenzlauer Berg Südwest,52.53135,13.41498,Entire home/apt,69,90,0,0.0,1,73,0,1,1,3.0321933754059223,2.9890099313969154,1.8487814249031995,1.7335573141065628,2.22908359371024,1.73,1,1,2,179
Pankow,Helmholtzplatz,52.54504,13.41844,Entire home/apt,95,4,2,0.08,2,0,0,0,1,4.227031945235019,4.105933484370564,3.3443052187256996,2.209148489073639,3.570457702599824,2.21,1,1,2,180
Pankow,Prenzlauer Berg Süd,52.53237,13.42922,Entire home/apt,250,7,2,0.13,1,0,0,0,1,3.924711961951837,3.9102908372789345,2.52938752721453,2.6654583059065557,3.0672100777539986,2.53,1,1,2,1125
Charlottenburg-Wilm.,Schloß Charlottenburg,52.512,13.29163,Private room,13,30,7,0.26,3,0,0,1,1,5.867485233404806,5.788147967680209,7.532122531107213,7.169605198093921,6.775212152755491,5.79,1,1,1,28
Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48791,13.32432,Private room,27,3,31,1.13,1,23,19,1,1,4.809679569195781,4.90819025251769,6.186643618547711,6.902514500422447,5.609236486481971,4.81,2,2,2,28
Mitte,Brunnenstr. Süd,52.53642,13.40085,Entire home/apt,88,120,1,0.05,2,320,0,1,0,2.735374214037525,2.5925247241718443,2.2033194753786414,0.7359031763599281,2.19160713553168,0.74,1,1,1,30
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50851,13.47244,Entire home/apt,48,35,0,0.0,1,133,0,0,1,6.484605880155483,6.630007459317148,4.8458401377224565,6.32022293899128,5.622151054661325,4.85,1,1,2,8
Neukölln,Rixdorf,52.47145,13.45164,Entire home/apt,181,14,4,0.49,1,154,4,1,1,7.073832208113919,7.335437497340073,6.042245836927088,8.225000680106767,6.588596359784082,6.04,0,1,2,1125
Treptow - Köpenick,Dammvorstadt,52.45047,13.56765,Entire home/apt,190,6,1,0.04,1,0,0,1,1,14.832308104833507,15.05566696172227,13.430271790892425,15.298739390761542,14.139541610449369,13.43,1,1,2,1125
Marzahn - Hellersdorf,Hellersdorf-Süd,52.52301,13.58202,Private room,25,1,5,0.19,1,0,0,0,1,13.884435833798394,13.979339154512218,12.218689538456228,13.087464129693235,12.97999757824206,12.22,3,4,6,15
Tempelhof - Schöneberg,Schöneberg-Nord,52.49358,13.35412,Entire home/apt,150,3,15,0.58,1,11,10,1,1,2.992112291892183,3.164346561674169,4.15879011709206,5.23464914008264,3.667799519310318,2.99,2,4,4,7
Charlottenburg-Wilm.,Schloß Charlottenburg,52.52251,13.28758,Entire home/apt,58,90,1,0.04,1,271,0,0,1,6.161768088297173,6.030790980324549,7.815765491679407,7.10544640307647,7.040619907679861,6.03,1,1,1,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.49011,13.3479,Private room,39,1,0,0.0,2,365,0,0,1,3.5477961835262146,3.709338948877447,4.7297208155165,5.77676561185431,4.238600461403384,3.55,1,1,4,40
Charlottenburg-Wilm.,Halensee,52.49967,13.29993,Entire home/apt,58,30,1,0.05,2,304,0,1,1,5.598854811807618,5.591317929429247,7.203813920870793,7.290041045962785,6.49935696346961,5.59,1,1,2,1125
Charlottenburg-Wilm.,Mierendorffplatz,52.52844,13.29917,Entire home/apt,62,5,39,1.58,1,19,22,1,1,5.504672455110304,5.341103788598299,7.123289677907396,6.2228003629342545,6.347099561583664,5.34,1,2,3,1125
Mitte,Brunnenstr. Nord,52.53882,13.37595,Entire home/apt,202,2,74,2.75,2,310,38,0,1,2.512803858830568,2.24753218730577,3.0486214274763803,1.0499043060513968,2.566154815369758,1.05,1,3,3,1125
Mitte,Brunnenstr. Süd,52.53655,13.37592,Entire home/apt,102,5,18,1.31,1,15,15,0,1,2.260657817832876,1.9949583585517376,2.8492904009430107,0.9817795477171981,2.337485859146687,0.98,1,2,2,90
Mitte,Brunnenstr. Süd,52.53354,13.39437,Entire home/apt,116,28,1,0.17,26,32,1,0,1,2.227890431569598,2.067960556140495,1.956426474617121,0.3346876809641539,1.7814009301108353,0.33,1,1,4,1125
Neukölln,Reuterstraße,52.4904,13.43226,Private room,75,6,11,0.8,1,0,10,0,1,4.687550464368676,4.935062988768617,3.5580578275031147,5.740255919282582,4.129729076796446,3.56,1,2,3,1125
Mitte,Brunnenstr. Süd,52.53435,13.39458,Entire home/apt,116,28,1,0.04,26,1,0,0,0,2.3130978199708854,2.149220791085176,2.0395004056439054,0.30993202069053394,1.8726212970819405,0.31,0,1,2,21
Mitte,Brunnenstr. Nord,52.53975,13.39999,Entire home/apt,145,14,8,0.3,1,0,2,0,1,3.016963730016803,2.852033499319378,2.576468735761615,0.8381598868971696,2.5323030105801556,0.84,1,1,2,1125
Neukölln,Reuterstraße,52.48838,13.42651,Private room,80,30,0,0.0,7,310,0,0,0,4.536667844297453,4.795575234495446,3.5479293621637966,5.758767293104583,4.053866997585472,3.55,2,3,3,1125
Neukölln,Gropiusstadt,52.42253,13.47903,Entire home/apt,35,2,1,0.04,1,0,0,0,1,12.49582518996012,12.773787500247176,11.698024436680551,13.90956464094793,12.159560511332629,11.7,1,1,2,365
Neukölln,Reuterstraße,52.48475,13.43894,Entire home/apt,58,4,45,1.65,1,0,10,0,1,5.436186397326383,5.688647235856323,4.333325463158561,6.511858878580807,4.900380994140214,4.33,3,3,4,19
Neukölln,Neuköllner Mitte/Zentrum,52.48076,13.42941,Private room,38,7,61,2.27,3,0,37,1,1,5.2827113624323365,5.550698212965377,4.396146168426308,6.61205389154227,4.865048884619428,4.4,1,3,6,1125
Steglitz - Zehlendorf,Zehlendorf  Nord,52.45156,13.29346,Private room,65,5,14,0.65,2,256,3,1,1,9.200707245566507,9.34244380019774,10.35056949970008,11.388709587497788,9.900194894026182,9.2,2,5,6,21
Pankow,Prenzlauer Berg Nordwest,52.55207,13.41289,Entire home/apt,56,92,3,0.11,5,169,1,1,1,4.642359868296916,4.47788455680701,4.007297501672889,2.431570596729629,4.106705897708979,2.43,1,1,1,21
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49349403634559,13.437292166054249,Entire home/apt,188,6,0,0.0,1,16,0,0,1,4.770099868019183,5.002793709965849,3.503369269842465,5.630877791295148,4.1370285366578035,3.5,1,1,2,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.49695,13.36141,Entire home/apt,73,4,49,1.76,1,127,20,0,1,2.419661440104332,2.612374506976021,3.537792229499001,4.678935952780191,3.0576206955440934,2.42,1,1,2,7
Mitte,Alexanderplatz,52.51227,13.40885,Entire home/apt,115,28,36,1.38,1,91,11,1,0,2.155980663041769,2.3266301037735,0.6581123597553942,2.843361311918821,1.3524159477795463,0.66,2,3,4,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49902,13.38347,Private room,50,1,1,0.61,8,244,1,1,1,1.9576520007267293,2.2365437945230897,2.341386860214427,4.046584840307959,2.1366844841886663,1.96,1,1,2,365
Pankow,Helmholtzplatz,52.54436111450195,13.4163179397583,Entire home/apt,131,7,9,0.34,1,310,1,0,1,4.076241743977899,3.9516443966188053,3.2277293472680757,2.046694099309329,3.4319135782340764,2.05,1,3,4,1125
Mitte,Brunnenstr. Süd,52.53145,13.39626,Entire home/apt,70,14,4,0.31,5,5,3,1,1,2.1045161140788267,1.9726646353036907,1.6985359232753754,0.5817846864744107,1.5750934424504006,0.58,1,1,2,20
Mitte,Brunnenstr. Süd,52.53226,13.39489,Entire home/apt,51,6,9,0.34,26,0,1,0,1,2.125322033501098,1.9779364747445936,1.8097913523996187,0.4523184999234194,1.6455442953537003,0.45,1,1,2,12
Marzahn - Hellersdorf,Hellersdorf-Ost,52.53117,13.60009,Private room,15,1,0,0.0,1,0,0,0,1,15.180199959323737,15.25996765716279,13.520477471507862,14.24943120628018,14.270971901564227,13.52,1,1,2,4
